#date, pm25, pm10, o3, no2, so2, co
2019/9/20, 97, , 56, , 2, 5
2019/9/21, 110, , 52, , 4, 6
2019/9/22, 94, , 39, , 1, 3
2019/9/23, 46, , 39, , 1, 3
2019/9/24, 66, , 49, , 3, 7
2019/9/25, 73, , 48, , 1, 4
2019/9/26, 82, , 50, , 1, 3
2019/9/27, 59, , 47, , 2, 4
2019/9/28, 57, , 42, , 3, 5
2019/9/29, 80, , 41, , 3, 5
2019/9/30, 59, , 35, , 2, 5
2019/10/1, 68, , 59, , 5, 6
2019/4/2, 76, , 36, , 3, 7
2019/4/3, 59, , 31, , 3, 10
2019/4/4, 75, , 15, , 4, 7
2019/4/5, 59, , 32, , 1, 7
2019/4/6, 77, , 48, , 2, 7
2019/4/7, 67, , 74, , 2, 6
2019/4/8, 72, , 52, , , 5
2019/4/9, 60, , 63, , 1, 5
2019/4/10, 60, , 59, , 2, 7
2019/4/11, 68, , 46, , 3, 8
2019/4/12, 76, , 50, , 1, 6
2019/4/13, 54, , 44, , 2, 7
2019/4/14, 64, , 36, , , 6
2019/4/15, 43, , 29, , 2, 7
2019/4/16, 65, , 28, , , 6
2019/4/17, 50, , 27, , 1, 7
2019/4/18, 56, , 32, , 1, 6
2019/4/19, 54, , 27, , 2, 5
2019/4/20, 56, , , , , 
2019/4/25, 60, , 30, , 1, 6
2019/4/26, 55, , 30, , 4, 8
2019/4/27, 75, , 27, , 2, 7
2019/4/28, 44, , 31, , , 4
2019/4/29, 32, , 27, , , 5
2019/4/30, 43, , 26, , 1, 4
2019/5/1, 49, , 40, , , 3
2019/5/2, 50, , 35, , , 4
2019/5/3, 49, , 31, , 4, 5
2019/5/4, 65, , 30, , 3, 5
2019/5/5, 51, , 32, , 1, 4
2019/5/6, 49, , 28, , 1, 4
2019/5/7, 45, , 30, , 1, 4
2019/5/8, 47, , 36, , 1, 4
2019/5/9, 49, , 24, , 1, 6
2019/5/10, 51, , 33, , 2, 6
2019/5/11, 63, , 45, , 1, 8
2019/5/12, 79, , 32, , 1, 6
2019/5/13, 65, , 14, , 3, 11
2019/5/14, 82, , 26, , 1, 7
2019/5/15, 42, , 25, , , 5
2019/5/16, 38, , 28, , , 6
2019/5/17, 41, , 28, , 2, 6
2019/5/18, 51, , 36, , 2, 4
2019/5/19, 56, , 20, , 1, 5
2019/5/20, 52, , 23, , 3, 8
2019/5/21, 80, , 25, , 2, 6
2019/5/22, 67, , 22, , 1, 4
2019/5/23, 55, , 27, , 2, 6
2019/5/24, 69, , 27, , 1, 6
2019/5/25, 57, , 29, , 1, 6
2019/5/26, 64, , 24, , 1, 7
2019/5/27, 56, , 45, , 2, 8
2019/5/28, 75, , 34, , 1, 6
2019/5/29, 62, , 36, , 1, 6
2019/5/30, 57, , 25, , 2, 7
2019/5/31, 65, , 27, , 2, 6
2019/6/1, 82, , 40, , , 3
2019/6/2, 56, , 26, , , 3
2019/6/3, 50, , 24, , 4, 2
2019/6/4, 39, , 21, , , 2
2019/6/5, 29, , 27, , 1, 2
2019/6/6, 38, , 33, , 1, 2
2019/6/7, 44, , 33, , 2, 4
2019/6/8, 65, , 30, , 1, 3
2019/6/9, 45, , 27, , 2, 4
2019/6/10, 53, , 21, , 2, 3
2019/6/11, 48, , 23, , 2, 5
2019/6/12, 63, , 21, , 2, 3
2019/6/13, 46, , 25, , 3, 4
2019/6/14, 59, , 21, , 5, 6
2019/6/15, 83, , 28, , 3, 6
2019/6/20, 7, , 22, , 1, 3
2019/6/21, 47, , 21, , 1, 4
2019/6/22, 49, , 24, , 1, 5
2019/6/23, 49, , 22, , 1, 5
2019/6/24, 33, , 22, , 2, 6
2019/6/25, 53, , 42, , 3, 4
2019/6/26, 61, , 32, , 2, 2
2019/6/27, 52, , 29, , 2, 2
2019/6/28, 50, , 27, , 2, 3
2019/6/29, 54, , 21, , 1, 3
2019/6/30, 39, , 29, , 2, 3
2019/7/1, 44, , 27, , 1, 3
2019/1/2, 114, , 24, , 4, 4
2019/1/3, 39, , 24, , 2, 4
2019/1/4, 43, , 26, , 2, 5
2019/1/5, 41, , 37, , 3, 6
2019/1/6, 67, , 33, , 4, 9
