date, pm25, pm10, o3, no2, so2, co
2019/8/6, 42, , 35, , 2, 5
2019/8/7, 45, , 34, , 2, 4
2019/8/8, 43, , 33, , 2, 4
2019/8/9, 39, , 29, , 2, 5
2019/8/10, 48, , 28, , 1, 5
2019/8/11, 36, , 29, , 1, 5
2019/8/12, 41, , 34, , 1, 4
2019/8/13, 38, , 29, , 1, 5
2019/8/14, 35, , 45, , 1, 6
2019/8/15, 79, , 47, , 1, 5
2019/8/16, 89, , 44, , 2, 5
2019/8/17, 53, , 38, , 3, 6
2019/8/18, 59, , 30, , 1, 4
2019/8/19, 37, , 29, , 1, 4
2019/8/20, 46, , 27, , 1, 3
2019/8/21, 38, , 34, , 1, 2
2019/8/22, 34, , 35, , 2, 5
2019/8/23, 40, , 35, , 2, 5
2019/8/24, 41, , 31, , 1, 4
2019/8/25, 37, , 35, , 1, 3
2019/8/26, 38, , 38, , 2, 3
2019/8/27, 41, , 32, , 2, 4
2019/8/28, 36, , 31, , 1, 3
2019/8/29, 33, , 34, , 1, 3
2019/8/30, 35, , 43, , 2, 6
2019/8/31, 41, , 35, , 2, 7
2019/9/1, 51, , 24, , 2, 6
2019/9/2, 41, , 39, , 3, 7
2019/9/3, 57, , 37, , 3, 6
2019/9/4, 84, , 29, , 2, 5
2019/9/5, 78, , 30, , 3, 4
2019/9/6, 70, , 30, , 3, 3
2019/9/7, 44, , 36, , 2, 3
2019/9/8, 36, , 42, , 2, 2
2019/9/9, 40, , 32, , 2, 3
2019/9/10, 45, , 36, , 4, 3
2019/9/11, 62, , 28, , 5, 4
2019/9/12, 69, , 27, , 4, 5
2019/9/13, 108, , 35, , 4, 3
2019/9/14, 113, , 29, , 2, 4
2019/9/15, 69, , 30, , 2, 3
2019/9/16, 56, , 36, , 4, 4
2019/9/17, 63, , 29, , 4, 4
2019/9/18, 78, , 30, , 3, 4
2019/9/19, 87, , 32, , 2, 5
2019/9/20, 84, , 37, , 5, 7
2019/9/21, 87, , 20, , 6, 10
2019/9/22, 92, , , , , 
2019/9/24, 55, , 35, , 5, 8
2019/9/25, 62, , 38, , 4, 6
2019/9/26, 63, , 40, , 5, 7
2019/9/27, 69, , 37, , 4, 6
2019/9/28, 62, , 33, , 5, 6
2019/9/29, 73, , 34, , 3, 6
2019/9/30, 54, , 31, , 4, 7
2019/10/1, 62, , 41, , 7, 7
2019/4/2, 66, , 23, , 3, 9
2019/4/3, 55, , 19, , 5, 13
2019/4/4, 72, , 8, , 3, 8
2019/4/5, 57, , 22, , 3, 7
2019/4/6, 60, , 19, , 3, 7
2019/4/7, 44, , , , , 
2019/4/9, 48, , 16, , 11, 4
2019/4/10, 37, , 27, , 9, 7
2019/4/11, 64, , 29, , 4, 8
2019/4/12, 61, , 34, , 5, 8
2019/4/13, 57, , 30, , 4, 8
2019/4/14, 55, , 28, , 3, 7
2019/4/15, 47, , 22, , 3, 8
2019/4/16, 57, , 16, , 6, 7
2019/4/17, 50, , 4, , , 12
2019/4/19, 61, , 19, , 4, 10
2019/4/20, 57, , 25, , 4, 6
2019/4/21, 74, , 18, , 3, 
2019/4/22, 65, , 3, , 6, 15
2019/4/23, 39, , 25, , 6, 12
2019/4/24, 64, , 19, , 6, 13
2019/4/25, 57, , 19, , 9, 11
2019/4/26, 63, , 23, , 8, 8
2019/4/27, 54, , 21, , 8, 10
2019/4/28, 60, , 25, , 4, 5
2019/4/29, 30, , 21, , 6, 7
2019/4/30, 49, , 21, , 6, 8
2019/5/1, 45, , 35, , 5, 9
2019/5/2, 45, , 27, , 5, 10
2019/5/3, 44, , 28, , 7, 
2019/5/4, 48, , 4, , 8, 
2019/5/5, 40, , , , , 
2019/5/7, 39, , 19, , 5, 8
2019/5/8, 55, , 17, , 5, 6
2019/5/9, 61, , 18, , 5, 6
2019/5/10, 54, , 8, , 4, 7
2019/5/11, 62, , 30, , 5, 6
2019/5/12, 67, , 25, , 4, 5
